config,cost_segment,capital,fuel,marginal
2030_tot,Distribution,41207115383.76188,0.0,0.0
2030_tot,Energy production,336917806490.8111,369332942352.6773,282419670974.59406
2030_tot,Storage,43156793135.211395,0.0,0.0
2030_tot,Transmission,12973694785.248816,0.0,566761574.3600355
2035_tot,Distribution,43194115699.57038,0.0,0.0
2035_tot,Energy production,377980732651.0112,316329145604.0012,278223941786.0709
2035_tot,Storage,45521208020.40987,0.0,0.0
2035_tot,Transmission,13165505609.400755,0.0,521692851.6220462
2040_tot,Distribution,48562118829.501465,0.0,0.0
2040_tot,Energy production,427315328340.9102,258771306944.8777,252633074325.94827
2040_tot,Storage,45926977754.30032,0.0,0.0
2040_tot,Transmission,14542572835.523336,0.0,498843891.8160103
2045_tot,Distribution,54737655949.13879,0.0,0.0
2045_tot,Energy production,506526779946.96,204879313298.21713,202330230564.0184
2045_tot,Storage,47071192062.93369,0.0,0.0
2045_tot,Transmission,17139601792.736105,0.0,1001688818.0908961
2050_tot,Distribution,58017758136.467255,0.0,0.0
2050_tot,Energy production,581856835099.0916,180559478999.2937,176018888873.88397
2050_tot,Storage,48847671457.21291,0.0,0.0
2050_tot,Transmission,20073737683.46571,0.0,3605972766.5412154
2030_be,Distribution,710520466.8610563,0.0,0.0
2030_be,Energy production,5118631477.3392,3115654613.233788,8411129354.76444
2030_be,Storage,174936546.74229935,0.0,0.0
2035_be,Distribution,793929131.1388026,0.0,0.0
2035_be,Energy production,5170847884.992987,2846773765.2020926,8576959579.992609
2035_be,Storage,175258263.40864503,0.0,0.0
2040_be,Distribution,908359775.5410466,0.0,0.0
2040_be,Energy production,5001721374.191915,2373330468.91025,8354619361.557113
2040_be,Storage,176584297.6027548,0.0,0.0
2045_be,Distribution,1073791150.0951562,0.0,0.0
2045_be,Energy production,5794458587.714567,2025326439.3645349,7629978757.262422
2045_be,Storage,178107525.52794883,0.0,0.0
2050_be,Distribution,1149046613.7713046,0.0,0.0
2050_be,Energy production,5919951286.310842,1723774612.355411,7402415944.70202
2050_be,Storage,180819632.73943,0.0,0.0
2030_fl,Distribution,710520466.8610563,0.0,0.0
2030_fl,Energy production,5118631477.3392,3115654613.233788,8411129354.76444
2030_fl,Storage,174936546.74229935,0.0,0.0
2035_fl,Distribution,793929131.1388026,0.0,0.0
2035_fl,Energy production,5170847884.992987,2846773765.2020926,8576959579.992609
2035_fl,Storage,175258263.40864503,0.0,0.0
2040_fl,Distribution,908359775.5410466,0.0,0.0
2040_fl,Energy production,5001721374.191915,2373330468.91025,8354619361.557113
2040_fl,Storage,176584297.6027548,0.0,0.0
2045_fl,Distribution,1073791150.0951562,0.0,0.0
2045_fl,Energy production,5794458587.714567,2025326439.3645349,7629978757.262422
2045_fl,Storage,178107525.52794883,0.0,0.0
2050_fl,Distribution,1149046613.7713046,0.0,0.0
2050_fl,Energy production,5919951286.310842,1723774612.355411,7402415944.70202
2050_fl,Storage,180819632.73943,0.0,0.0
2030_eu27,Distribution,32257300702.16356,0.0,0.0
2030_eu27,Energy production,271965977626.81503,82554100402.61876,199725547409.00623
2030_eu27,Storage,29561266736.90114,0.0,0.0
2035_eu27,Distribution,33783592790.233112,0.0,0.0
2035_eu27,Energy production,300439699379.30035,77363499901.9206,197613770281.60486
2035_eu27,Storage,30002954266.946354,0.0,0.0
2040_eu27,Distribution,37638087327.10209,0.0,0.0
2040_eu27,Energy production,334414307713.26416,65416310820.48444,180999038782.53522
2040_eu27,Storage,32076794115.880474,0.0,0.0
2045_eu27,Distribution,42540311940.09278,0.0,0.0
2045_eu27,Energy production,398931015814.4949,51912438422.75021,146788168168.8641
2045_eu27,Storage,33301599580.188942,0.0,0.0
2050_eu27,Distribution,45297587916.39768,0.0,0.0
2050_eu27,Energy production,461091909745.1758,80218122228.69112,132314034779.41211
2050_eu27,Storage,34585793383.04061,0.0,0.0
