config,cost_segment,cost/carrier,2030,2035,2040,2045,2050
prod_tot,Energy production,capital,337332530741.1243,377240759359.9037,417786504546.13666,476849869392.7002,561669512354.5029
prod_tot,Energy production,fuel,366773547667.9224,310216615584.1481,253760546867.66742,200972588698.16122,159807587345.93018
prod_tot,Energy production,marginal,276607598844.23126,262910177134.92142,238879667863.5386,198060549868.43356,170004721640.16882
sto_tot,Storage,capital,43626398022.84295,43910870584.75171,45584010507.150116,46725113833.29522,48050712720.03704
tran_tot,Transmission,capital,12967137024.160631,13247493069.921179,14532717740.88176,16668146691.647709,19736966346.800785
tran_tot,Transmission,marginal,556450595.6381845,484321924.2687177,434987235.6182568,904346624.2921195,3394612369.7731743
distr_tot,Distribution,capital,41297531016.52083,43731844596.87777,49520145393.06842,54990779703.928276,59097256815.83665
net_imp_tot,Net_Imports,H2,0,0,0,0,0
net_imp_tot,Net_Imports,elec,0,0,0,0,0
net_imp_tot,Net_Imports,gas,0,0,0,0,0
prod_be,Energy production,capital,5114188238.549929,5196886495.031806,4981260674.27942,5801777709.46662,6023971469.914415
prod_be,Energy production,fuel,2598092887.5323,2770824860.1251597,2940467238.720665,3108277006.5544043,3552958073.912713
prod_be,Energy production,marginal,8401601423.407581,8497171351.651488,8354592131.502438,7604588644.288476,7173044009.305825
sto_be,Storage,capital,172054136.44214636,172394589.8316009,173821400.15985882,174776787.16077483,176436036.0790664
distr_be,Distribution,capital,712925276.4574203,799223458.0814757,926273471.2895678,1068488591.413777,1162940905.3951347
net_imp_be,Net_Imports,H2,-49394548.63288667,-51894277.79913342,-50021490.507824816,-20525482.786673754,28594437.270295367
net_imp_be,Net_Imports,elec,437082232.24548554,852315922.02524,1403257498.1445417,1783561306.5608706,2378392777.358534
net_imp_be,Net_Imports,gas,-865180362.1872734,-782873026.9859262,-713450649.3480796,-550345182.776678,-319390888.437898
prod_fl,Energy production,capital,5114188238.549929,5196886495.031806,4981260674.27942,5801777709.46662,6023971469.914415
prod_fl,Energy production,fuel,2598092887.5323,2770824860.1251597,2940467238.720665,3108277006.5544043,3552958073.912713
prod_fl,Energy production,marginal,8401601423.407581,8497171351.651488,8354592131.502438,7604588644.288476,7173044009.305825
sto_fl,Storage,capital,172054136.44214636,172394589.8316009,173821400.15985882,174776787.16077483,176436036.0790664
distr_fl,Distribution,capital,712925276.4574203,799223458.0814757,926273471.2895678,1068488591.413777,1162940905.3951347
net_imp_fl,Net_Imports,H2,-49394548.63288667,-51894277.79913342,-50021490.507824816,-20525482.786673754,28594437.270295367
net_imp_fl,Net_Imports,elec,437082232.24548554,852315922.02524,1403257498.1445417,1783561306.5608706,2378392777.358534
net_imp_fl,Net_Imports,gas,-865180362.1872734,-782873026.9859262,-713450649.3480796,-550345182.776678,-319390888.437898
prod_eu27,Energy production,capital,272441778992.50372,301103823532.36346,330051447837.57043,375461767226.3621,445509179401.3954
prod_eu27,Energy production,fuel,76627888619.52087,67670159850.60784,54021515977.43693,39024559518.01812,51093561056.67013
prod_eu27,Energy production,marginal,198338958690.02203,191913335194.56802,175891341347.71744,146637170116.8442,127593106701.03384
sto_eu27,Storage,capital,29565154528.195427,29904494202.16937,31755971313.694416,32732104581.411987,33645991387.56665
distr_eu27,Distribution,capital,32330654489.370907,34114727857.38808,38404968097.9503,42634584505.131355,46115791085.26164
net_imp_eu27,Net_Imports,H2,-30400115.474295646,-232796869.45697668,-152420285.64385867,-191765817.97727197,-449563393.17661595
net_imp_eu27,Net_Imports,elec,-3819797789.4807796,-4203852090.880745,-4806291857.953064,-5506133943.201656,-6198470968.985344
net_imp_eu27,Net_Imports,gas,-1168049202.4402504,-1189984087.473853,-1199498875.6375306,-772645899.2019417,-462479667.045428
