config,cost_segment,capital,fuel,marginal
2030_tot,Distribution,41297531016.52083,0.0,0.0
2030_tot,Energy production,337332530741.1243,366773547667.9224,276607598844.23126
2030_tot,Storage,43626398022.84295,0.0,0.0
2030_tot,Transmission,12967137024.160631,0.0,556450595.6381845
2035_tot,Distribution,43731844596.87777,0.0,0.0
2035_tot,Energy production,377240759359.9037,310216615584.1481,262910177134.92142
2035_tot,Storage,43910870584.75171,0.0,0.0
2035_tot,Transmission,13247493069.921179,0.0,484321924.2687177
2040_tot,Distribution,49520145393.06842,0.0,0.0
2040_tot,Energy production,417786504546.13666,253760546867.66742,238879667863.5386
2040_tot,Storage,45584010507.150116,0.0,0.0
2040_tot,Transmission,14532717740.88176,0.0,434987235.6182568
2045_tot,Distribution,54990779703.928276,0.0,0.0
2045_tot,Energy production,476849869392.7002,200972588698.16122,198060549868.43356
2045_tot,Storage,46725113833.29522,0.0,0.0
2045_tot,Transmission,16668146691.647709,0.0,904346624.2921195
2050_tot,Distribution,59097256815.83665,0.0,0.0
2050_tot,Energy production,561669512354.5029,159807587345.93018,170004721640.16882
2050_tot,Storage,48050712720.03704,0.0,0.0
2050_tot,Transmission,19736966346.800785,0.0,3394612369.7731743
2030_be,Distribution,712925276.4574203,0.0,0.0
2030_be,Energy production,5114188238.549929,3075585566.1069746,8401601423.407581
2030_be,Storage,172054136.44214636,0.0,0.0
2035_be,Distribution,799223458.0814757,0.0,0.0
2035_be,Energy production,5196886495.031806,2753276242.8849792,8497171351.651488
2035_be,Storage,172394589.8316009,0.0,0.0
2040_be,Distribution,926273471.2895678,0.0,0.0
2040_be,Energy production,4981260674.27942,2300681880.4320273,8354592131.502438
2040_be,Storage,173821400.15985882,0.0,0.0
2045_be,Distribution,1068488591.413777,0.0,0.0
2045_be,Energy production,5801777709.46662,1895586365.5568852,7604588644.288476
2045_be,Storage,174776787.16077483,0.0,0.0
2050_be,Distribution,1162940905.3951347,0.0,0.0
2050_be,Energy production,6023971469.914415,1465361747.7217817,7173044009.305825
2050_be,Storage,176436036.0790664,0.0,0.0
2030_fl,Distribution,712925276.4574203,0.0,0.0
2030_fl,Energy production,5114188238.549929,3075585566.1069746,8401601423.407581
2030_fl,Storage,172054136.44214636,0.0,0.0
2035_fl,Distribution,799223458.0814757,0.0,0.0
2035_fl,Energy production,5196886495.031806,2753276242.8849792,8497171351.651488
2035_fl,Storage,172394589.8316009,0.0,0.0
2040_fl,Distribution,926273471.2895678,0.0,0.0
2040_fl,Energy production,4981260674.27942,2300681880.4320273,8354592131.502438
2040_fl,Storage,173821400.15985882,0.0,0.0
2045_fl,Distribution,1068488591.413777,0.0,0.0
2045_fl,Energy production,5801777709.46662,1895586365.5568852,7604588644.288476
2045_fl,Storage,174776787.16077483,0.0,0.0
2050_fl,Distribution,1162940905.3951347,0.0,0.0
2050_fl,Energy production,6023971469.914415,1465361747.7217817,7173044009.305825
2050_fl,Storage,176436036.0790664,0.0,0.0
2030_eu27,Distribution,32330654489.370907,0.0,0.0
2030_eu27,Energy production,272441778992.50372,81646135726.9162,198338958690.02203
2030_eu27,Storage,29565154528.195427,0.0,0.0
2035_eu27,Distribution,34114727857.38808,0.0,0.0
2035_eu27,Energy production,301103823532.36346,73296792898.41942,191913335194.56802
2035_eu27,Storage,29904494202.16937,0.0,0.0
2040_eu27,Distribution,38404968097.9503,0.0,0.0
2040_eu27,Energy production,330051447837.57043,60179726996.67138,175891341347.71744
2040_eu27,Storage,31755971313.694416,0.0,0.0
2045_eu27,Distribution,42634584505.131355,0.0,0.0
2045_eu27,Energy production,375461767226.3621,45495105178.39899,146637170116.8442
2045_eu27,Storage,32732104581.411987,0.0,0.0
2050_eu27,Distribution,46115791085.26164,0.0,0.0
2050_eu27,Energy production,445509179401.3954,58204075085.87752,127593106701.03384
2050_eu27,Storage,33645991387.56665,0.0,0.0
