config,cost_segment,cost/carrier,2030,2035,2040,2045,2050
prod_tot,Energy production,capital,336778489339.7879,375027294824.6411,423108287060.1126,511038257494.0981,591986546857.7926
prod_tot,Energy production,fuel,369720615299.07007,318322623384.1904,262557911287.90253,214532325629.1698,199353794231.58716
prod_tot,Energy production,marginal,283547009731.4912,282253704308.07306,259349522553.22696,208981725931.00916,189829602142.27682
sto_tot,Storage,capital,43259397711.74634,44341597652.11609,45834274786.32896,47736660175.26601,49398362981.878426
tran_tot,Transmission,capital,12980523572.4602,13156954644.553535,14380813625.08764,17246495556.02247,19389104885.059834
tran_tot,Transmission,marginal,568754065.125608,536016698.37010676,516154590.5782735,1136012373.392133,3470858894.176153
distr_tot,Distribution,capital,41104205234.15268,42763607919.016075,47754362680.34463,53809187413.64707,56519513919.8837
net_imp_tot,Net_Imports,H2,0,0,0,0,0
net_imp_tot,Net_Imports,elec,0,0,0,0,0
net_imp_tot,Net_Imports,gas,0,0,0,0,0
prod_be,Energy production,capital,5121653388.651378,5165373933.811088,4952428368.779195,5784863485.636791,6109327727.383908
prod_be,Energy production,fuel,2624677566.1162415,2870661715.039715,3042952829.74432,3373592769.2754974,4665140911.274975
prod_be,Energy production,marginal,8448463623.361022,8615581223.872936,8341942446.555253,7548421817.533096,7340524141.797701
sto_be,Storage,capital,175317480.64912742,175652625.75270614,176878428.37630057,179783236.04705015,191236788.8757881
distr_be,Distribution,capital,707165549.0483351,783032899.5695541,889817284.3437132,1054862991.8018355,1105618382.40054
net_imp_be,Net_Imports,H2,-49424242.75604638,-52666089.99849134,-15475135.131309982,-41188680.78439623,61111308.78479042
net_imp_be,Net_Imports,elec,415717425.53440475,815347791.1854196,1297784324.4986944,1914003679.669989,1855979786.2619257
net_imp_be,Net_Imports,gas,-869622263.7546886,-793157895.7882363,-703656951.476864,-419460463.38108456,-263910689.68047753
prod_fl,Energy production,capital,5121653388.651378,5165373933.811088,4952428368.779195,5784863485.636791,6109327727.383908
prod_fl,Energy production,fuel,2624677566.1162415,2870661715.039715,3042952829.74432,3373592769.2754974,4665140911.274975
prod_fl,Energy production,marginal,8448463623.361022,8615581223.872936,8341942446.555253,7548421817.533096,7340524141.797701
sto_fl,Storage,capital,175317480.64912742,175652625.75270614,176878428.37630057,179783236.04705015,191236788.8757881
distr_fl,Distribution,capital,707165549.0483351,783032899.5695541,889817284.3437132,1054862991.8018355,1105618382.40054
net_imp_fl,Net_Imports,H2,-49424242.75604638,-52666089.99849134,-15475135.131309982,-41188680.78439623,61111308.78479042
net_imp_fl,Net_Imports,elec,415717425.53440475,815347791.1854196,1297784324.4986944,1914003679.669989,1855979786.2619257
net_imp_fl,Net_Imports,gas,-869622263.7546886,-793157895.7882363,-703656951.476864,-419460463.38108456,-263910689.68047753
prod_eu27,Energy production,capital,271816045405.32144,298571682808.9147,331836873512.0201,403143189526.3368,464547477555.4473
prod_eu27,Energy production,fuel,77807136096.38364,73636246535.77534,62147340045.68084,49791818198.99541,103154357176.40338
prod_eu27,Energy production,marginal,199913740491.9865,198941012494.80817,181380378606.6304,141729516680.05417,126280987623.6973
sto_eu27,Storage,capital,29578950976.051758,30114773885.041073,32348314875.18072,33781691176.163017,34935345414.46009
distr_eu27,Distribution,capital,32172462949.358673,33421296066.77949,36988402605.60357,41750268004.962456,44026679099.00262
net_imp_eu27,Net_Imports,H2,-70974842.0483866,-176318720.9223593,-147435735.09142208,-433237724.5137414,-342037743.67638004
net_imp_eu27,Net_Imports,elec,-3787747618.84799,-3950281647.640793,-4335300373.308355,-5475364183.267338,-5869072081.326271
net_imp_eu27,Net_Imports,gas,-1188085978.170498,-1208532644.0440507,-1213344058.6500459,-758909416.5215055,-469698270.4205604
