config,cost_segment,cost/carrier,2030,2035,2040,2045,2050
prod_tot,Energy production,capital,336811829696.7301,380297219329.30817,436663163850.139,513827914628.8019,587782043815.7412
prod_tot,Energy production,fuel,368339714798.79486,316639142779.31793,258667184469.3735,214574389824.316,184900318262.8139
prod_tot,Energy production,marginal,281920678704.7372,282791449936.83124,257139469395.67944,204558220928.89557,173762745560.55124
sto_tot,Storage,capital,43241550046.90107,44031016328.02415,45668795610.737526,48245166957.27883,49697580898.43279
tran_tot,Transmission,capital,12987775975.887997,13178068378.850357,14549175006.876116,16690052234.071054,20901286207.31502
tran_tot,Transmission,marginal,570866787.4470239,538371785.8388405,533324710.50613624,1031875029.8316445,3516139735.9242086
distr_tot,Distribution,capital,41175922298.428764,42780972315.08492,47779081621.308426,52675689588.74509,56092687104.53258
net_imp_tot,Net_Imports,H2,0,0,0,0,0
net_imp_tot,Net_Imports,elec,0,0,0,0,0
net_imp_tot,Net_Imports,gas,0,0,0,0,0
prod_be,Energy production,capital,5122481911.344969,5229782661.109408,5034712693.923814,5779515506.71231,5945552607.777208
prod_be,Energy production,fuel,2630668606.327371,2950624038.8757696,3027140361.971676,3590853635.367741,3982632652.0795164
prod_be,Energy production,marginal,8380474411.776663,8623566168.952065,8476114269.994221,7676897007.599978,7410251107.10495
sto_be,Storage,capital,176812804.98095825,177110473.79649186,178362798.3883506,179496269.67855,189236065.48953325
distr_be,Distribution,capital,710104266.8969245,787568540.6810576,893257739.6632732,1025454713.6721556,1112621428.020169
net_imp_be,Net_Imports,H2,-50606441.90166637,-58790523.04231985,-20088991.19276451,-46464564.20508348,-252746.16461335868
net_imp_be,Net_Imports,elec,423595530.85725045,843001962.1926308,1325108142.4730773,1813496133.0321655,2133069329.3146968
net_imp_be,Net_Imports,gas,-868127134.7317086,-783716459.1052461,-659286807.300111,-441077034.1412362,-275762881.32305753
prod_fl,Energy production,capital,5122481911.344969,5229782661.109408,5034712693.923814,5779515506.71231,5945552607.777208
prod_fl,Energy production,fuel,2630668606.327371,2950624038.8757696,3027140361.971676,3590853635.367741,3982632652.0795164
prod_fl,Energy production,marginal,8380474411.776663,8623566168.952065,8476114269.994221,7676897007.599978,7410251107.10495
sto_fl,Storage,capital,176812804.98095825,177110473.79649186,178362798.3883506,179496269.67855,189236065.48953325
distr_fl,Distribution,capital,710104266.8969245,787568540.6810576,893257739.6632732,1025454713.6721556,1112621428.020169
net_imp_fl,Net_Imports,H2,-50606441.90166637,-58790523.04231985,-20088991.19276451,-46464564.20508348,-252746.16461335868
net_imp_fl,Net_Imports,elec,423595530.85725045,843001962.1926308,1325108142.4730773,1813496133.0321655,2133069329.3146968
net_imp_fl,Net_Imports,gas,-868127134.7317086,-783716459.1052461,-659286807.300111,-441077034.1412362,-275762881.32305753
prod_eu27,Energy production,capital,271830035068.0176,300547147615.6063,338709256400.3501,402227408527.47626,458071784992.7382
prod_eu27,Energy production,fuel,78004707257.43124,75391169789.96004,67185089272.86755,62403023941.43389,68030458434.71709
prod_eu27,Energy production,marginal,199411551055.5772,200332390918.30493,183767719830.1475,147261790388.8866,130101597553.61479
sto_eu27,Storage,capital,29569704286.599533,30121222770.76262,32342414969.684555,33814049713.03247,35166182265.79102
distr_eu27,Distribution,capital,32229279161.348495,33496362799.553223,37033935673.29261,40954351045.20675,43751359495.865845
net_imp_eu27,Net_Imports,H2,-73089867.63049334,-140186324.9909753,-169376736.2053848,-253506964.54523855,-368092089.57035494
net_imp_eu27,Net_Imports,elec,-3788182225.95681,-4352898346.564705,-4249964110.0321198,-5489754791.494318,-5561478551.894024
net_imp_eu27,Net_Imports,gas,-1179911509.0722044,-1166985985.989657,-1187689516.5114093,-776985762.6665198,-442394100.6933468
