config,cost_segment,capital,fuel,marginal
2030_tot,Distribution,41175922298.428764,0.0,0.0
2030_tot,Energy production,336811829696.7301,368339714798.79486,281920678704.7372
2030_tot,Storage,43241550046.90107,0.0,0.0
2030_tot,Transmission,12987775975.887997,0.0,570866787.4470239
2035_tot,Distribution,42780972315.08492,0.0,0.0
2035_tot,Energy production,380297219329.30817,316639142779.31793,282791449936.83124
2035_tot,Storage,44031016328.02415,0.0,0.0
2035_tot,Transmission,13178068378.850357,0.0,538371785.8388405
2040_tot,Distribution,47779081621.308426,0.0,0.0
2040_tot,Energy production,436663163850.139,258667184469.3735,257139469395.67944
2040_tot,Storage,45668795610.737526,0.0,0.0
2040_tot,Transmission,14549175006.876116,0.0,533324710.50613624
2045_tot,Distribution,52675689588.74509,0.0,0.0
2045_tot,Energy production,513827914628.8019,214574389824.316,204558220928.89557
2045_tot,Storage,48245166957.27883,0.0,0.0
2045_tot,Transmission,16690052234.071054,0.0,1031875029.8316445
2050_tot,Distribution,56092687104.53258,0.0,0.0
2050_tot,Energy production,587782043815.7412,184900318262.8139,173762745560.55124
2050_tot,Storage,49697580898.43279,0.0,0.0
2050_tot,Transmission,20901286207.31502,0.0,3516139735.9242086
2030_be,Distribution,710104266.8969245,0.0,0.0
2030_be,Energy production,5122481911.344969,3125806652.1034956,8380474411.776663
2030_be,Storage,176812804.98095825,0.0,0.0
2035_be,Distribution,787568540.6810576,0.0,0.0
2035_be,Energy production,5229782661.109408,2950129058.8307047,8623566168.952065
2035_be,Storage,177110473.79649186,0.0,0.0
2040_be,Distribution,893257739.6632732,0.0,0.0
2040_be,Energy production,5034712693.923814,2381408017.991474,8476114269.994221
2040_be,Storage,178362798.3883506,0.0,0.0
2045_be,Distribution,1025454713.6721556,0.0,0.0
2045_be,Energy production,5779515506.71231,2264899100.6818953,7676897007.599978
2045_be,Storage,179496269.67855,0.0,0.0
2050_be,Distribution,1112621428.020169,0.0,0.0
2050_be,Energy production,5945552607.777208,2125578950.2524903,7410251107.10495
2050_be,Storage,189236065.48953325,0.0,0.0
2030_fl,Distribution,710104266.8969245,0.0,0.0
2030_fl,Energy production,5122481911.344969,3125806652.1034956,8380474411.776663
2030_fl,Storage,176812804.98095825,0.0,0.0
2035_fl,Distribution,787568540.6810576,0.0,0.0
2035_fl,Energy production,5229782661.109408,2950129058.8307047,8623566168.952065
2035_fl,Storage,177110473.79649186,0.0,0.0
2040_fl,Distribution,893257739.6632732,0.0,0.0
2040_fl,Energy production,5034712693.923814,2381408017.991474,8476114269.994221
2040_fl,Storage,178362798.3883506,0.0,0.0
2045_fl,Distribution,1025454713.6721556,0.0,0.0
2045_fl,Energy production,5779515506.71231,2264899100.6818953,7676897007.599978
2045_fl,Storage,179496269.67855,0.0,0.0
2050_fl,Distribution,1112621428.020169,0.0,0.0
2050_fl,Energy production,5945552607.777208,2125578950.2524903,7410251107.10495
2050_fl,Storage,189236065.48953325,0.0,0.0
2030_eu27,Distribution,32229279161.348495,0.0,0.0
2030_eu27,Energy production,271830035068.0176,83045890860.09076,199411551055.5772
2030_eu27,Storage,29569704286.599533,0.0,0.0
2035_eu27,Distribution,33496362799.553223,0.0,0.0
2035_eu27,Energy production,300547147615.6063,81051240447.50537,200332390918.30493
2035_eu27,Storage,30121222770.76262,0.0,0.0
2040_eu27,Distribution,37033935673.29261,0.0,0.0
2040_eu27,Energy production,338709256400.3501,72792119635.61647,183767719830.1475
2040_eu27,Storage,32342414969.684555,0.0,0.0
2045_eu27,Distribution,40954351045.20675,0.0,0.0
2045_eu27,Energy production,402227408527.47626,68923271460.13997,147261790388.8866
2045_eu27,Storage,33814049713.03247,0.0,0.0
2050_eu27,Distribution,43751359495.865845,0.0,0.0
2050_eu27,Energy production,458071784992.7382,74402423176.87482,130101597553.61479
2050_eu27,Storage,35166182265.79102,0.0,0.0
